Name,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Global_Sales,Year,img_url,Market_Share
Wii Sports,Sports,E,Wii,Nintendo,Nintendo EAD,,7.7,,82.86,2006,/games/boxart/full_2258645AmericaFrontccc.jpg,16.281217456231797
Super Mario Bros.,Platform,,NES,Nintendo,Nintendo EAD,,10.0,,40.24,1985,/games/boxart/8972270ccc.jpg,42.936406316688014
Mario Kart Wii,Racing,E,Wii,Nintendo,Nintendo EAD,,8.2,9.1,37.14,2008,/games/boxart/full_8932480AmericaFrontccc.jpg,5.029181166975901
PlayerUnknown's Battlegrounds,Shooter,,PC,PUBG Corporation,PUBG Corporation,,,,36.6,2017,/games/boxart/full_8052843AmericaFrontccc.jpg,9.990173599738025
Wii Sports Resort,Sports,E,Wii,Nintendo,Nintendo EAD,,8.0,8.8,33.09,2009,/games/boxart/full_7295041AmericaFrontccc.jpg,4.698615548455833
Pokemon Red / Green / Blue Version,Role-Playing,E,GB,Nintendo,Game Freak,,9.4,,31.38,1998,/games/boxart/full_6442337AmericaFrontccc.png,11.158920379787372
New Super Mario Bros.,Platform,E,DS,Nintendo,Nintendo EAD,,9.1,8.1,30.8,2006,/games/boxart/full_2916260AmericaFrontccc.jpg,6.051912836735933
Tetris,Puzzle,E,GB,Nintendo,Bullet Proof Software,,,,30.26,1989,/games/boxart/3740960ccc.jpg,39.472997651969735
New Super Mario Bros. Wii,Platform,E,Wii,Nintendo,Nintendo EAD,,8.6,9.2,30.22,2009,/games/boxart/full_1410872AmericaFrontccc.jpg,4.291089811856611
Minecraft,Misc,,PC,Mojang,Mojang AB,,10.0,,30.01,2010,/games/boxart/full_minecraft_1AmericaFront.png,4.3886459689095485
Duck Hunt,Shooter,,NES,Nintendo,Nintendo R&D1,,,,28.31,1985,/games/boxart/full_6570468AmericaFrontccc.jpg,30.206999573196757
Wii Play,Misc,E,Wii,Nintendo,Nintendo EAD,,5.9,4.5,28.02,2007,/games/boxart/full_6165969AmericaFrontccc.jpg,4.336320163424537
Kinect Adventures!,Party,E,X360,Microsoft Game Studios,Good Science Studio,,6.7,,24.0,2010,/games/boxart/full_kinect-adventures_386AmericaFront.jpg,3.509746859507803
Nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,,8.4,,23.96,2005,/games/boxart/full_4870931AmericaFrontccc.jpg,5.173493403580022
Mario Kart DS,Racing,E,DS,Nintendo,Nintendo EAD,,9.1,9.4,23.6,2005,/games/boxart/full_9551652AmericaFrontccc.jpg,5.095761449269138
Pokemon Gold / Silver Version,Role-Playing,E,GB,Nintendo,Game Freak,,9.2,,23.1,2000,/games/boxart/full_1344180AmericaFrontccc.png,8.94967262020069
Wii Fit,Sports,E,Wii,Nintendo,Nintendo EAD,,7.9,,22.67,2008,/games/boxart/full_3619557AmericaFrontccc.jpg,3.069777518991483
Wii Fit Plus,Sports,E,Wii,Nintendo,Nintendo EAD,,8.0,,21.13,2009,/games/boxart/full_2716475AmericaFrontccc.jpg,3.0003549875754527
Super Mario World,Platform,E,SNES,Nintendo,Nintendo EAD,,8.5,,20.61,1991,/games/boxart/full_1091265AmericaFrontccc.jpg,33.98746701846966
Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,,9.4,,20.32,2013,/games/boxart/full_6510540AmericaFrontccc.jpg,4.386968630583578
Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,,9.7,,19.39,2014,/games/boxart/full_5563178AmericaFrontccc.jpg,4.385687143761883
Brain Age: Train Your Brain in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,,8.1,,19.01,2006,/games/boxart/full_7749365AmericaFrontccc.jpg,3.735287760595782
Garry's Mod,Misc,,PC,Unknown,Team Garry,,,,18.58,2004,/games/boxart/full_6480469AmericaFrontccc.jpg,4.030631060589636
Super Mario Land,Platform,E,GB,Nintendo,Nintendo R&D1,,,,18.14,1989,/games/boxart/3345559ccc.jpg,23.66292721106183
Mario Kart 7,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios,,8.2,,18.11,2011,/games/boxart/full_mario-kart-7_649AmericaFront.jpg,2.8278317354236444
Pokemon Diamond / Pearl Version,Role-Playing,E,DS,Nintendo,Game Freak,,8.6,,17.67,2007,/games/boxart/full_2730687AmericaFrontccc.jpg,2.7345744927805704
Grand Theft Auto: San Andreas,Action,M,PS2,Rockstar Games,Rockstar North,,9.5,,17.3,2004,/games/boxart/3887656ccc.jpg,3.7529557237998232
Super Mario Bros. 3,Platform,E,NES,Nintendo,Nintendo R&D2,,,,17.28,1990,/games/boxart/4113056ccc.jpg,32.97709923664122
Pokemon X/Y,Role-Playing,E,3DS,Nintendo,Game Freak,,8.9,9.7,16.37,2013,/games/boxart/full_9470074AmericaFrontccc.png,3.534186834776239
Pokemon Ruby / Sapphire Version,Role-Playing,E,GBA,Nintendo,Game Freak,,8.8,,16.22,2003,/games/boxart/full_4771333AmericaFrontccc.png,4.023216588947331
Grand Theft Auto: Vice City,Action,M,PS2,Rockstar Games,Rockstar North,,9.6,,16.15,2002,/games/boxart/827563ccc.jpg,4.150283966797746
Pokemon Sun/Moon,Role-Playing,E,3DS,Nintendo,Game Freak,,9.0,,16.14,2016,/games/boxart/full_6532288JapanFrontccc.png,4.775289209739957
Grand Theft Auto V,Action,M,X360,Rockstar Games,Rockstar North,,,,15.86,2013,/games/boxart/full_9218923AmericaFrontccc.jpg,3.424080830760608
Pokemon Black / White Version,Role-Playing,E,DS,Nintendo,Game Freak,,8.6,9.0,15.64,2011,/games/boxart/full_2983232AmericaFrontccc.jpg,2.442147340807609
Call of Duty: Black Ops 3,Shooter,M,PS4,Activision,Treyarch,,,,15.09,2015,/games/boxart/full_4990510AmericaFrontccc.jpg,4.007542359377507
Mario Kart 8 Deluxe,Racing,E,NS,Nintendo,Nintendo EPD,,9.3,,15.02,2017,/games/boxart/full_895207AmericaFrontccc.png,4.0997925537722715
Counter-Strike: Source,Shooter,M,PC,VU Games,Valve Software,,9.3,,15.0,2004,/games/boxart/full_9030886AmericaFrontccc.jpg,3.254007853005627
Sonic the Hedgehog,Platform,,GEN,Sega,Sonic Team,,,,15.0,1991,/games/boxart/4697634ccc.jpg,24.73614775725594
Gran Turismo 3: A-Spec,Racing,E,PS2,Sony Computer Entertainment,Polyphony Digital,,9.3,,14.89,2001,/games/boxart/full_5113832AmericaFrontccc.jpg,4.281072999626243
Brain Age 2: More Training in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,,8.0,,14.88,2007,/games/boxart/full_1039696AmericaFrontccc.jpg,2.3027995728678485
Call of Duty: Modern Warfare 3,Shooter,M,X360,Activision,Infinity Ward,,8.7,,14.82,2011,/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg,2.314106367696213
Call of Duty: Black Ops,Shooter,M,X360,Activision,Treyarch,,8.8,,14.74,2010,/games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg,2.1555695295477086
Pokemon Yellow: Special Pikachu Edition,Role-Playing,E,GB,Nintendo,Game Freak,,8.7,,14.64,1999,/games/boxart/4260472ccc.jpg,5.445010599918175
Halo 3,Shooter,M,X360,Microsoft Game Studios,Bungie Studios,,9.6,9.5,14.5,2007,/games/boxart/full_8373567AmericaFrontccc.jpg,2.243991519259664
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,E,3DS,Nintendo,Game Freak,,,,14.17,2014,/games/boxart/full_5184866AmericaFrontccc.png,3.2050122138785913
Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,,9.8,,13.94,2018,/games/boxart/full_4653215AmericaFrontccc.jpg,5.55777051271828
Call of Duty: Black Ops II,Shooter,M,X360,Activision,Treyarch,,,,13.86,2012,/games/boxart/full_1977964AmericaFrontccc.jpg,3.4613655661555534
Call of Duty: Black Ops II,Shooter,M,PS3,Activision,Treyarch,,,,13.8,2012,/games/boxart/full_4649679AmericaFrontccc.png,3.4463812996353997
Super Mario Odyssey,Platform,E10,NS,Nintendo,Nintendo EPD,,9.9,,13.76,2017,/games/boxart/full_1659701AmericaFrontccc.jpg,3.755868544600962
Call of Duty: Modern Warfare 2,Shooter,M,X360,Activision,Infinity Ward,,9.5,9.0,13.53,2009,/games/boxart/full_809251AmericaFrontccc.jpg,1.9211927582534725
Call of Duty: WWII,Shooter,M,PS4,Activision,Sledgehammer Games,,8.0,,13.4,2017,/games/boxart/full_4380292AmericaFrontccc.jpg,3.657604541980588
Call of Duty: Modern Warfare 3,Shooter,M,PS3,Activision,Infinity Ward,,8.8,,13.35,2011,/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,2.0845695012648067
Super Smash Bros. Brawl,Fighting,T,Wii,Nintendo,Project Sora,,9.2,9.7,13.29,2008,/games/boxart/full_4169332AmericaFrontccc.jpg,1.7996181397175477
Grand Theft Auto III,Action,M,PS2,Rockstar Games,DMA Design,,9.5,,13.1,2001,/games/boxart/3570928ccc.jpg,3.766424197119126
New Super Mario Bros. 2,Platform,E,3DS,Nintendo,Nintendo,,7.5,,13.08,2012,/games/boxart/full_9872028AmericaFrontccc.jpg,3.2665701013935524
Portal 2,Shooter,E10,PC,Valve,Valve Software,,9.7,,13.06,2011,/games/boxart/full_portal-2_617AmericaFront.jpg,2.0392867180912644
Minecraft,Misc,E10,X360,Microsoft Studios,Mojang,,,,13.0,2013,/games/boxart/full_7845034AmericaFrontccc.jpg,2.80662363177099
Super Mario Galaxy,Platform,E,Wii,Nintendo,Nintendo EAD Tokyo,,9.7,9.6,12.78,2007,/games/boxart/full_5542974AmericaFrontccc.jpg,1.9778076976647245
Pokemon Heart Gold / Soul Silver Version,Role-Playing,E,DS,Nintendo,Game Freak,,8.6,,12.72,2010,/games/boxart/full_2733841AmericaFrontccc.jpg,1.8601658355391355
Call of Duty: Black Ops,Shooter,M,PS3,Activision,Treyarch,,8.7,,12.67,2010,/games/boxart/full_call-of-duty-black-ops_3AmericaFront.jpg,1.8528538629151607
Grand Theft Auto V,Action,M,PC,Rockstar Games,Rockstar North,,,,12.6,2015,/games/boxart/full_9031276AmericaFrontccc.jpg,3.3462580336750563
Super Mario 3D Land,Platform,E,3DS,Nintendo,Nintendo EAD Tokyo,,8.9,,12.41,2011,/games/boxart/full_super-mario-3dland_167AmericaFront.jpg,1.9377908247712552
Animal Crossing: New Leaf,Simulation,E,3DS,Nintendo,Nintendo EAD,,8.6,,12.1,2013,/games/boxart/full_7774244AmericaFrontccc.jpg,2.612318918802229
Super Smash Bros. Ultimate,Fighting,E10,NS,Nintendo,Bandai Namco Games,,9.4,9.7,12.08,2018,/games/boxart/full_8423750AmericaFrontccc.jpg,4.816202854636788
Diablo III,Role-Playing,M,PC,Blizzard Entertainment,Blizzard Entertainment,,9.0,,12.0,2012,/games/boxart/full_diablo-iii_550AmericaFront.jpg,2.996853304030782
Pokemon FireRed / LeafGreen Version,Role-Playing,E,GBA,Nintendo,Game Freak,,8.3,,12.0,2004,/games/boxart/full_5668335AmericaFrontccc.jpg,2.6032062824045012
Gran Turismo 5,Racing,E,PS3,Sony Computer Entertainment,Polyphony Digital,,8.3,,11.95,2010,/games/boxart/full_gran-turismo-5_118AmericaFront.png,1.7475614571299265
Super Mario 64,Platform,E,N64,Nintendo,Nintendo EAD,,9.7,,11.91,1996,/games/boxart/full_9007863AmericaFrontccc.jpg,7.55423062285932
FIFA 18,Sports,E,PS4,EA Sports,EA Vancouver,,8.3,,11.8,2017,/games/boxart/full_5257064AmericaFrontccc.jpg,3.2208756414455926
Gran Turismo 4,Racing,E,PS2,Sony Computer Entertainment,Polyphony Digital,,8.7,,11.76,2005,/games/boxart/full_8555381AmericaFrontccc.jpg,2.539243840822248
Animal Crossing: Wild World,Simulation,E,DS,Nintendo,Nintendo EAD,,8.5,,11.75,2005,/games/boxart/full_8328377AmericaFrontccc.jpg,2.537084619869168
The Legend of Zelda: Breath of the Wild,Action-Adventure,E10,NS,Nintendo,Nintendo EPD,,9.9,10.0,11.68,2017,/games/boxart/full_4436858AmericaFrontccc.png,3.188120973905468
Super Mario Land 2: 6 Golden Coins,Platform,E,GB,Nintendo,Nintendo R&D1,,9.0,,11.18,1992,/games/boxart/full_5947486AmericaFrontccc.jpg,14.76687359661868
Grand Theft Auto IV,Action,M,X360,Rockstar Games,Rockstar North,,10.0,,11.09,2008,/games/boxart/full_1182151AmericaFrontccc.jpg,1.5017129548132133
Super Mario 64 DS,Platform,E,DS,Nintendo,Nintendo EAD,,8.6,,11.06,2004,/games/boxart/full_1719347AmericaFrontccc.jpg,2.399288456949482
Terraria,Platform,T,PC,Unknown,Re-Logic,,8.8,,11.0,2011,/games/boxart/full_terraria_497AmericaFront.jpg,1.717622810030927
FIFA 17,Sports,E,PS4,Electronic Arts,EA Canada,,8.9,,10.94,2016,/games/boxart/full_7661370AmericaFrontccc.jpg,3.2367821533181615
Gran Turismo,Racing,E,PS,Sony Computer Entertainment,Polyphony Digital,,9.5,,10.85,1998,/games/boxart/6215143ccc.jpg,3.858326517549171
Call of Duty: Modern Warfare 2,Shooter,M,PS3,Activision,Infinity Ward,,9.5,,10.61,2009,/games/boxart/full_call-of-duty-modern-warfare-2_1AmericaFront.jpg,1.506567270145554
Grand Theft Auto IV,Action,M,PS3,Rockstar Games,Rockstar North,,10.0,9.0,10.57,2008,/games/boxart/full_1729769AmericaFrontccc.jpg,1.4312990020176435
Super Mario All-Stars,Platform,E,SNES,Nintendo,Nintendo EAD,,,9.5,10.55,1993,/games/boxart/8836826ccc.jpg,16.161151960784323
Call of Duty: Ghosts,Shooter,M,X360,Activision,Infinity Ward,,6.9,,10.41,2013,/games/boxart/full_8522439AmericaFrontccc.jpg,2.2474578466720003
Just Dance 3,Misc,E10,Wii,Ubisoft,Ubisoft Paris,,7.5,,10.14,2011,/games/boxart/full_just-dance-3_883AmericaFront.jpg,1.5833359357921455
Call of Duty: Ghosts,Shooter,M,PS3,Activision,Infinity Ward,,7.5,,10.13,2013,/games/boxart/full_3698558AmericaFrontccc.jpg,2.1870074915261637
Horizon: Zero Dawn,Action,T,PS4,Sony Interactive Entertainment,Guerrilla Games,,9.1,8.0,10.0,2017,/games/boxart/full_719511AmericaFrontccc.jpg,2.7295556283437223
"Pokemon: Let's Go, Pikachu/Eevee",Role-Playing,E,NS,Nintendo,Game Freak,,,,10.0,2018,/games/boxart/full_2669309AmericaFrontccc.jpg,3.986922892911248
RollerCoaster Tycoon 3,Strategy,E,PC,Atari,Frontier Developments,,8.3,,10.0,2004,/games/boxart/full_6560922AmericaFrontccc.jpg,2.169338568670418
Halo: Reach,Shooter,M,X360,Microsoft Game Studios,Bungie,,9.3,,9.97,2010,/games/boxart/full_halo-reach_6AmericaFront.jpg,1.4580073412205332
Portal,Shooter,T,PC,Valve Corporation,Valve Software,,9.0,,9.97,2008,/games/boxart/5574270ccc.jpg,1.3500521334073705
Halo 4,Shooter,M,X360,Microsoft Studios,343 Industries,,,,9.96,2012,/games/boxart/full_2236292AmericaFrontccc.png,2.487388242345549
Final Fantasy VII,Role-Playing,T,PS,Sony Computer Entertainment,SquareSoft,,9.6,9.5,9.9,1997,/games/boxart/1190945ccc.jpg,5.540011191941796
Mario Kart 64,Racing,E,N64,Nintendo,Nintendo EAD,,8.5,,9.87,1997,/games/boxart/full_8835641AmericaFrontccc.jpg,5.523223279238942
StarCraft,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,,8.7,,9.5,1998,/games/boxart/3959329ccc.jpg,3.3782582411720856
Super Smash Bros. for 3DS,Fighting,E10,3DS,Nintendo,Bandai Namco Games,,8.4,,9.45,2014,/games/boxart/full_4463374AmericaFrontccc.jpg,2.137428752374925
Call of Duty 4: Modern Warfare,Shooter,M,X360,Activision,Infinity Ward,,9.6,9.0,9.41,2007,/games/boxart/full_4481633AmericaFrontccc.jpg,1.4562731169816165
Gran Turismo 2,Racing,E,PS,Sony Computer Entertainment,Polyphony Digital,,9.2,,9.37,1999,/games/boxart/45196ccc.jpg,3.48495555472905
Wii Party,Misc,E,Wii,Nintendo,"Nd Cube Co., Ltd.",,7.0,,9.32,2010,/games/boxart/full_wii-party_1AmericaFront.jpg,1.3629516971088633
Call of Duty: Black Ops IIII,Shooter,M,PS4,Activision,Treyarch,,,,9.32,2018,/games/boxart/full_6532460AmericaFrontccc.jpg,3.7158121361932834
Mario Party DS,Misc,E,DS,Nintendo,Hudson Soft,,7.1,,9.31,2007,/games/boxart/full_7340729AmericaFrontccc.jpg,1.4407973134005154
Donkey Kong Country,Platform,E,SNES,Nintendo,Rare Ltd.,,9.0,,9.3,1994,/games/boxart/6431319ccc.jpg,14.717518594714358
FIFA 19,Sports,E,PS4,Electronic Arts,EA Sports,,,,9.15,2018,/games/boxart/full_5970958AmericaFrontccc.jpg,3.6480344470137918
Rust,Action-Adventure,,PC,Facepunch Studios,Facepunch Studios,,6.1,,9.15,2018,/games/boxart/full_9200722AmericaFrontccc.jpg,3.6480344470137918
Marvel's Spider-Man,Action-Adventure,T,PS4,Sony Interactive Entertainment,Insomniac Games,,9.1,,9.0,2018,/games/boxart/full_7960565AmericaFrontccc.jpg,3.588230603620123
Half-Life 2,Shooter,M,PC,VU Games,Valve Software,,9.7,,8.88,2004,/games/boxart/6354662ccc.jpg,1.9263726489793311
The Elder Scrolls V: Skyrim,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,,9.3,,8.88,2011,/games/boxart/full_the-elder-scrolls-v-skyrim_554AmericaFront.jpg,1.386590050279512
Mario Party 8,Misc,E,Wii,Nintendo,Hudson Soft,,6.5,,8.85,2007,/games/boxart/full_7451822AmericaFrontccc.jpg,1.3696086169274502
Super Mario Kart,Racing,E,SNES,Nintendo,Nintendo EAD,,10.0,,8.76,1992,/games/boxart/full_3980311AmericaFrontccc.jpg,11.570466252806765
Grand Theft Auto V,Action,M,XOne,Rockstar Games,Rockstar North,,9.0,9.0,8.72,2014,/games/boxart/full_8047513AmericaFrontccc.jpg,1.9723152085406717
Uncharted 4: A Thief's End,Action,T,PS4,Sony Interactive Entertainment,Naughty Dog,,9.2,,8.7,2016,/games/boxart/full_2804791AmericaFrontccc.jpg,2.574040652090311
Final Fantasy VIII,Role-Playing,T,PS,Square EA,SquareSoft,,9.4,,8.6,1999,/games/boxart/1184295ccc.jpg,3.1985718004983816
Final Fantasy X,Role-Playing,T,PS2,Square,SquareSoft,,9.0,10.0,8.6,2001,/games/boxart/4912276ccc.jpg,2.4726143584140825
Pokemon Black 2 and White 2,Role-Playing,E,DS,Nintendo,Game Freak,,8.0,8.3,8.52,2012,/games/boxart/full_3674437AmericaFrontccc.png,2.127765845861855
Call of Duty: Infinite Warfare,Shooter,M,PS4,Activision,Infinity Ward,,,,8.48,2016,/games/boxart/full_5706058AmericaFrontccc.jpg,2.508949968934005
Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,,8.6,,8.48,2015,/games/boxart/full_2507140AmericaFrontccc.jpg,2.2520847718701966
Mario Kart 8,Racing,E,WiiU,Nintendo,Nintendo,,8.8,,8.42,2014,/games/boxart/full_638065AmericaFrontccc.jpg,1.9044603275128962
Tekken 3,Fighting,T,PS,Namco,Namco,,9.6,,8.3,1998,/games/boxart/full_tekken-3_687AmericaFront.jpg,2.951530884392454
Pokemon: Ultra Sun and Ultra Moon,Role-Playing,E,3DS,Nintendo,Game Freak,,8.1,,8.28,2017,/games/boxart/full_9155401AmericaFrontccc.png,2.260072060268602
Splatoon 2,Shooter,E10,NS,Nintendo,Nintendo EPD,,8.2,,8.27,2017,/games/boxart/full_7536933AmericaFrontccc.png,2.2573425046402584
FIFA 16,Sports,E,PS4,EA Sports,EA Canada,,8.5,,8.22,2015,/games/boxart/full_862315AmericaFrontccc.jpg,2.183035002921346
GoldenEye 007,Shooter,T,N64,Nintendo,Rare Ltd.,,9.8,,8.09,1997,/games/boxart/2952086ccc.jpg,4.527140458869609
Star Wars Battlefront (2015),Shooter,T,PS4,Electronic Arts,EA DICE,,7.1,,8.03,2015,/games/boxart/full_4873252AmericaFrontccc.jpg,2.1325755563818016
FIFA 13,Sports,E,PS3,EA Sports,EA Canada,,,,8.01,2012,/games/boxart/full_5731689AmericaFrontccc.jpg,2.000399580440547
Halo 2,Shooter,M,XB,Microsoft Game Studios,Bungie Studios,,9.6,,8.0,2004,/games/boxart/2840502ccc.jpg,1.7354708549363342
The Sims 3,Simulation,T,PC,Electronic Arts,EA Redwood Shores,,8.5,,7.96,2009,/games/boxart/full_7487992AmericaFrontccc.jpg,1.1302804401846003
Grand Theft Auto: Liberty City Stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,,8.8,,7.72,2005,/games/boxart/1340019ccc.jpg,1.6669185757778704
Pac-Man,Puzzle,,2600,Atari,Atari,,,,7.7,1982,/games/boxart/3878609ccc.jpg,17.38541431474373
Pokemon Platinum Version,Role-Playing,E,DS,Nintendo,Game Freak,,8.3,8.9,7.6,2009,/games/boxart/full_2423658AmericaFrontccc.jpg,1.0791622293219802
The Legend of Zelda: Ocarina of Time,Adventure,E,N64,Nintendo,Nintendo EAD,,9.9,10.0,7.6,1998,/games/boxart/full_1349358AmericaFrontccc.jpg,2.702606592937668
Crash Bandicoot 2: Cortex Strikes Back,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,,8.6,,7.58,1997,/games/boxart/full_7543191AmericaFrontccc.jpg,4.241745942921092
Call of Duty: Advanced Warfare,Shooter,M,PS4,Activision,Sledgehammer Games,,8.5,,7.53,2014,/games/boxart/full_514368AmericaFrontccc.jpg,1.7031575137971626
Call of Duty: World at War,Shooter,M,X360,Activision,Treyarch,,8.5,7.8,7.5,2008,/games/boxart/full_3557116AmericaFrontccc.jpg,1.015585857628413
Super Mario Bros. 2,Platform,,NES,Nintendo,Nintendo EAD,,,,7.46,1988,/games/boxart/2668604ccc.jpg,26.941133983387505
Super Mario Galaxy 2,Platform,E,Wii,Nintendo,Nintendo EAD Tokyo,,9.7,9.8,7.41,2010,/games/boxart/full_903954AmericaFrontccc.jpg,1.0836343428730342
Super Smash Bros. Melee,Fighting,T,GC,Nintendo,HAL Laboratory,,9.2,,7.41,2001,/games/boxart/full_404087AmericaFrontccc.jpg,2.1304735344009713
Call of Duty: Black Ops 3,Shooter,M,XOne,Activision,Treyarch,,,,7.37,2015,/games/boxart/full_8414457AmericaFrontccc.jpg,1.957295373665489
Battlefield 3,Shooter,M,X360,Electronic Arts,Dice,,8.5,,7.35,2011,/games/boxart/full_battlefield-3_439AmericaFront.jpg,1.1476843321570285
The Legend of Zelda: Twilight Princess,Adventure,T,Wii,Nintendo,Nintendo EAD,,9.5,9.6,7.26,2006,/games/boxart/full_2379938AmericaFrontccc.jpg,1.426522311516327
Battlefield 1,Shooter,M,PS4,Electronic Arts,EA DICE,,,,7.26,2016,/games/boxart/full_9032449AmericaFrontccc.png,2.147992544158122
Battlefield 3,Shooter,M,PS3,Electronic Arts,Dice,,8.5,,7.21,2011,/games/boxart/full_battlefield-3_278AmericaFront.jpg,1.1258236782111803
Need for Speed Underground,Racing,E,PS2,Electronic Arts,EA Black Box,,8.6,,7.2,2003,/games/boxart/9040231ccc.jpg,1.7858914574858684
The Binding of Isaac,Action,,PC,Edmund McMillen,Edmund McMillen,,8.3,,7.17,2011,/games/boxart/full_the-binding-of-isaac_366AmericaFront.jpg,1.1195777770837951
Crash Bandicoot 3: Warped,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,,9.3,,7.13,1998,/games/boxart/8735469ccc.jpg,2.5354717115323124
Pokemon Emerald Version,Role-Playing,E,GBA,Nintendo,Game Freak,,7.7,,7.06,2005,/games/boxart/4017681ccc.jpg,1.524409992874581
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Role-Playing,E10,3DS,Nintendo,Level 5,,,,7.03,2016,/games/boxart/full_8088410AmericaFrontccc.png,2.0799431935856196
Need for Speed Underground 2,Racing,E,PS2,Electronic Arts,EA Black Box,,8.3,,6.9,2004,/games/boxart/full_868897AmericaFrontccc.jpg,1.4968436123825883
Just Dance 4,Music,E10,Wii,Ubisoft,Ubisoft,,,,6.89,2012,/games/boxart/full_9463304AmericaFrontccc.jpg,1.7206932720643406
Mario Kart: Double Dash!!,Racing,E,GC,Nintendo,Nintendo EAD,,8.5,,6.88,2003,/games/boxart/7829386ccc.jpg,1.7065185038198298
Uncharted 3: Drake's Deception,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,,9.3,6.3,6.84,2011,/games/boxart/full_uncharted-3-drakes-deception_174AmericaFront.jpg,1.0680490927828674
Medal of Honor: Frontline,Shooter,T,PS2,Electronic Arts,EA Los Angeles,,9.0,,6.83,2002,/games/boxart/7583871ccc.jpg,1.7551974918407807
Crash Bandicoot,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,,7.8,,6.82,1996,/games/boxart/full_5316597AmericaFrontccc.png,4.3257643029303585
Zumba Fitness,Sports,E,Wii,Majesco,"Pipeworks Software, Inc.",,,,6.76,2010,/games/boxart/full_zumba-fitness_1AmericaFront.jpg,0.9885786987613644
Uncharted 2: Among Thieves,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,,9.5,9.6,6.74,2009,/games/boxart/full_2350454AmericaFrontccc.jpg,0.9570465033723876
Call of Duty 4: Modern Warfare,Shooter,M,PS3,Activision,Infinity Ward,,9.5,9.6,6.72,2007,/games/boxart/full_75346AmericaFrontccc.jpg,1.039974000649996
FIFA Soccer 12,Sports,E,PS3,EA Sports,EA Canada,,9.2,,6.65,2011,/games/boxart/full_fifa-soccer-12_475AmericaFront.jpg,1.0383810624277878
FIFA 14,Sports,E,PS3,EA Sports,EA Canada,,,,6.61,2013,/games/boxart/full_6002851AmericaFrontccc.jpeg,1.4270601696927878
Red Dead Redemption,Action,M,PS3,Rockstar Games,Rockstar San Diego,,9.5,,6.57,2011,/games/boxart/full_7375558AmericaFrontccc.jpg,1.0258892601730174
Donkey Kong Country Returns,Platform,E,Wii,Nintendo,Retro Studios,,8.6,,6.53,2010,/games/boxart/full_donkey-kong-country-returns_6AmericaFront.jpg,0.9549436246910813
The Legend of Zelda,Adventure,,NES,Nintendo,Nintendo EAD,,,,6.51,1987,/games/boxart/full_3817175AmericaFrontccc.jpg,20.89216944801027
Assassin's Creed III,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,,8.8,,6.5,2012,/games/boxart/full_7776699AmericaFrontccc.jpeg,1.6232955396833404
Guild Wars,Role-Playing,T,PC,NCSoft,ArenaNet,,8.7,,6.5,2005,/games/boxart/7542120ccc.jpg,1.403493619502093
Red Dead Redemption,Action,M,X360,Rockstar Games,Rockstar San Diego,,9.5,10.0,6.5,2010,/games/boxart/full_2634795AmericaFrontccc.jpg,0.9505564411166966
The Elder Scrolls V: Skyrim,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,,9.0,,6.49,2011,/games/boxart/full_the-elder-scrolls-v-skyrim_425AmericaFront.jpg,1.013397457918247
Final Fantasy XII,Role-Playing,T,PS2,Square Enix,Square Enix,,9.4,9.5,6.4,2006,/games/boxart/full_5437540AmericaFrontccc.jpg,1.2575403297113628
Tomodachi Life,Simulation,E,3DS,Nintendo,Nintendo,,7.8,,6.4,2014,/games/boxart/full_6316001AmericaFrontccc.png,1.4475707952592087
Pokemon Crystal Version,Role-Playing,E,GBC,Nintendo,Game Freak,,8.7,,6.39,2001,/games/boxart/2989621ccc.jpg,1.8372099709611611
Halo 3: ODST,Shooter,M,X360,Microsoft Game Studios,Bungie,,8.7,,6.35,2009,/games/boxart/full_8199541AmericaFrontccc.jpg,0.9016684416045492
