Name,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Global_Sales,Year,img_url,Market_Share
Total War Attila: Tyrants & Kings,Strategy,,PC,Koch Media,Creative Assembly,,,,0.02,2016,/games/boxart/full_9993628PALFrontccc.jpg,0.005917334832391521
Poupee Girl DS 2: Elegant Mint / Sweet Pink Style,Misc,,DS,Alvion,Alvion Inc.,,,,0.02,2010,/games/boxart/full_poupee-girl-ds-2-elegant-mint-sweet-pink-style_604JapanFront.jpg,0.002924789049589836
Winning Post 7: Maximum 2007,Sports,,PS3,KOEI,Koei,,,,0.02,2007,/games/boxart/full_4962491JapanFrontccc.jpg,0.0030951607162202264
DJ Star,Misc,T,DS,Deep Silver,Deep Silver,,,,0.02,2009,/games/boxart/full_8469575PALFrontccc.jpg,0.002839900603478895
The Sims 4: Luxury Party Stuff,Simulation,,PC,Electronic Arts,The Sims Studio,,,,0.02,2015,/games/boxart/full_4617097AmericaFrontccc.jpg,0.005311520688373105
Dragon Booster,Shooter,E,DS,Konami,Konami Computer Entertainment Hawaii,,,,0.02,2005,/games/boxart/full_5189566AmericaFrontccc.jpg,0.004318441906160286
Storm Lover 2nd,Misc,,PSP,D3Publisher,Unknown,,,,0.02,2013,/games/boxart/default.jpg,0.004317882510416908
Mario vs. Donkey Kong: Tipping Stars,Puzzle,E,WiiU,Nintendo,Nintendo Software Technology Corporation,,6.4,,0.02,2015,/games/boxart/full_2741705AmericaFrontccc.jpg,0.005311520688373105
Nights of Azure 2,Action,,PSV,Tecmo Koei,Gust,,,,0.02,2017,/games/boxart/full_156060JapanFrontccc.jpg,0.005459111256687445
Arcana Famiglia 2,Misc,,PSP,Comfort,Unknown,,,,0.02,2013,/games/boxart/default.jpg,0.004317882510416908
Ratchet & Clank Collection,Platform,,PSV,Sony Computer Entertainment,Mass Media,,,,0.02,2014,/games/boxart/full_3147792AmericaFrontccc.jpg,0.004523658735185026
Two Worlds,Role-Playing,M,PC,SouthPeak Interactive,Reality Pump,,7.4,,0.02,2007,/games/boxart/full_7663341AmericaFrontccc.jpg,0.0030951607162202264
